2023-08-01|14:12:30|ergonomic mouse|Amazon|-50.25
2024-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2024-11-05|09:20:10|USB-C Hub|BestBuy|-45.99
2024-12-18|14:45:50|Office Chair|Wayfair|-320.00
2025-01-22|16:05:30|Invoice 1002 paid|Claire|1200.00
2025-02-10|11:30:15|Notebook|Staples|-12.50
2025-03-05|08:15:40|Invoice 1003 paid|Brian|600.00
2025-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2025-05-12|13:50:05|Desk Lamp|IKEA|-35.75
2025-06-18|17:25:30|Coffee Machine|Amazon|-150.00
2025-07-07|09:40:20|Invoice 1004 paid|Sara|200.00
2025-08-22|12:05:50|Monitor Stand|Newegg|-75.00
2025-09-15|15:30:10|Invoice 1005 paid|Tom|950.00
2025-10-10|10:00:00|Invoice 1001 paid|Adam|85.00